artist_name,date,popularity_score,followers,monthly_listeners,youtube_subscribers,youtube_total_views,youtube_video_count
Mango Blade,2025-08-23,1,129,N/A,0,0,0,619,9
ZACKO,2025-08-23,0,7,0,0,0,0,505,21
ARANDA,2025-08-23,0,104,7,0,0,0,0,0
Casa 24Beats,2025-08-23,0,0,N/A,10,1097,62,0,0
Casa 24,2025-08-24,5,465,N/A,622,29102,94,1691,577
Chef Lino,2025-08-24,4,260,N/A,15,232,5,1353,12
PYRO,2025-08-24,1,202,109,0,0,0,0,0
bo.wlie,2025-08-24,0,89,16,94,13781,71,590,68
Mango Blade,2025-08-24,1,129,104,0,0,0,619,9
ZACKO,2025-08-24,0,7,0,0,0,0,505,21
ARANDA,2025-08-24,0,104,7,0,0,0,0,0
Casa 24Beats,2025-08-24,0,0,N/A,10,1099,62,0,0
Casa 24,2025-08-24,5,465,567,622,29102,94,1691,577
Chef Lino,2025-08-24,4,260,N/A,15,232,5,1353,12
PYRO,2025-08-24,1,202,109,0,0,0,0,0
bo.wlie,2025-08-24,0,89,16,94,13781,71,590,68
Mango Blade,2025-08-24,1,129,104,0,0,0,619,9
ZACKO,2025-08-24,0,7,N/A,0,0,0,505,21
ARANDA,2025-08-24,0,104,7,0,0,0,0,0
Casa 24Beats,2025-08-24,0,0,N/A,10,1099,62,0,0
Casa 24,2025-08-24,5,465,567,622,29102,94,1691,577
Chef Lino,2025-08-24,4,260,N/A,15,232,5,1353,12
PYRO,2025-08-24,1,202,109,0,0,0,0,0
bo.wlie,2025-08-24,0,89,N/A,94,13781,71,590,68
Mango Blade,2025-08-24,1,129,104,0,0,0,619,9
ZACKO,2025-08-24,0,7,0,0,0,0,505,21
ARANDA,2025-08-24,0,104,7,0,0,0,0,0
Casa 24Beats,2025-08-24,0,0,N/A,10,1099,62,0,0
Casa 24,2025-08-25,5,465,566,622,29105,94,1692,577
Chef Lino,2025-08-25,4,260,330,15,232,5,1354,12
PYRO,2025-08-25,1,202,108,0,0,0,0,0
bo.wlie,2025-08-25,0,89,N/A,94,13782,71,589,68
Mango Blade,2025-08-25,1,129,109,0,0,0,621,9
ZACKO,2025-08-25,0,7,0,0,0,0,506,21
ARANDA,2025-08-25,0,104,7,0,0,0,1163,33
Casa 24Beats,2025-08-25,0,0,N/A,10,1102,62,0,0
Casa 24,2025-08-26,5,465,N/A,622,29107,94,1693,577
Chef Lino,2025-08-26,4,260,N/A,15,232,5,1355,12
PYRO,2025-08-26,1,202,N/A,0,0,0,0,0
bo.wlie,2025-08-26,0,89,N/A,94,13782,71,589,68
Mango Blade,2025-08-26,1,129,N/A,0,0,0,620,9
ZACKO,2025-08-26,0,7,N/A,0,0,0,505,21
ARANDA,2025-08-26,0,104,N/A,0,0,0,1163,33
Casa 24Beats,2025-08-26,0,0,N/A,10,1154,64,0,0
Casa 24,2025-08-27,5,461,N/A,622,29110,94,1693,577
Chef Lino,2025-08-27,4,260,N/A,15,232,5,1354,12
PYRO,2025-08-27,1,202,N/A,0,0,0,0,0
bo.wlie,2025-08-27,0,89,N/A,94,13782,71,591,68
Mango Blade,2025-08-27,1,129,N/A,0,0,0,621,9
ZACKO,2025-08-27,0,7,N/A,0,0,0,506,21
