artist_name,date,popularity_score,followers,monthly_listeners,youtube_subscribers,youtube_total_views,youtube_video_count
Casa 24Beats,2025-11-02,0,0,N/A,22,10596,162,0,0
Discord Server,2025-11-02,0,64,21,0,0,0,0,0
Casa 24,2025-11-03,3,344,524,622,29342,94,1697,578
Chef Lino,2025-11-03,2,264,317,18,368,6,1328,5
PYRO,2025-11-03,0,155,88,0,0,0,946,9
bo.wlie,2025-11-03,0,88,12,94,13856,71,0,0
Mango Blade,2025-11-03,0,129,117,0,0,0,627,9
ZACKO,2025-11-03,0,8,0,0,0,0,506,21
ARANDA,2025-11-03,0,103,13,0,0,0,1180,34
Casa 24Beats,2025-11-03,0,0,N/A,22,10599,160,0,0
Discord Server,2025-11-03,0,64,17,0,0,0,0,0
Casa 24,2025-11-04,3,345,524,622,29343,94,1695,578
Chef Lino,2025-11-04,2,264,319,18,368,6,1328,5
PYRO,2025-11-04,0,155,87,0,0,0,946,9
bo.wlie,2025-11-04,0,88,13,94,13858,71,0,0
Mango Blade,2025-11-04,0,129,116,0,0,0,627,9
ZACKO,2025-11-04,0,8,0,0,0,0,506,21
ARANDA,2025-11-04,0,103,14,0,0,0,1180,34
Casa 24Beats,2025-11-04,0,0,N/A,22,10604,164,0,0
Discord Server,2025-11-04,0,64,21,0,0,0,0,0
Casa 24,2025-11-05,3,346,520,622,29343,94,1695,578
Chef Lino,2025-11-05,2,264,315,18,368,6,1328,5
PYRO,2025-11-05,0,155,84,0,0,0,946,9
bo.wlie,2025-11-05,0,88,12,94,13858,71,0,0
Mango Blade,2025-11-05,0,129,120,0,0,0,627,9
ZACKO,2025-11-05,0,8,0,0,0,0,506,21
ARANDA,2025-11-05,0,103,14,0,0,0,1180,35
Casa 24Beats,2025-11-05,0,0,N/A,22,10982,166,0,0
Discord Server,2025-11-05,0,64,19,0,0,0,0,0
Casa 24,2025-11-06,3,346,519,622,29346,94,1695,578
Chef Lino,2025-11-06,2,264,316,18,368,6,1328,5
PYRO,2025-11-06,0,155,81,0,0,0,946,9
bo.wlie,2025-11-06,0,88,12,94,13858,71,0,0
Mango Blade,2025-11-06,0,129,116,0,0,0,625,9
ZACKO,2025-11-06,0,8,0,0,0,0,506,21
ARANDA,2025-11-06,0,103,14,0,0,0,1180,35
Casa 24Beats,2025-11-06,0,0,N/A,22,11197,168,0,0
Discord Server,2025-11-06,0,64,20,0,0,0,0,0
Casa 24,2025-11-07,3,346,519,622,29347,94,1695,578
Chef Lino,2025-11-07,2,264,320,18,368,6,1327,5
PYRO,2025-11-07,0,155,80,0,0,0,946,9
bo.wlie,2025-11-07,0,88,12,94,13858,71,0,0
Mango Blade,2025-11-07,0,129,115,0,0,0,625,9
ZACKO,2025-11-07,0,8,0,0,0,0,506,21
ARANDA,2025-11-07,0,103,15,0,0,0,1180,35
Casa 24Beats,2025-11-07,0,0,N/A,25,12611,170,0,0
Discord Server,2025-11-07,0,64,18,0,0,0,0,0
Casa 24,2025-11-08,3,346,523,622,29350,94,1694,578
Chef Lino,2025-11-08,2,264,323,18,368,6,1326,5
PYRO,2025-11-08,0,155,81,0,0,0,947,9
bo.wlie,2025-11-08,0,88,12,94,13858,71,0,0
Mango Blade,2025-11-08,0,129,117,0,0,0,626,9
ZACKO,2025-11-08,0,8,0,0,0,0,506,21
ARANDA,2025-11-08,0,103,15,0,0,0,1181,35
Casa 24Beats,2025-11-08,0,0,N/A,25,13721,172,0,0
Discord Server,2025-11-08,0,64,20,0,0,0,0,0
Casa 24,2025-11-09,3,346,532,622,29370,94,1695,578
Chef Lino,2025-11-09,2,264,325,18,368,6,1327,5
PYRO,2025-11-09,0,155,80,0,0,0,947,9
bo.wlie,2025-11-09,0,88,10,94,13858,71,0,0
Mango Blade,2025-11-09,0,129,121,0,0,0,627,9
ZACKO,2025-11-09,0,8,0,0,0,0,506,21
ARANDA,2025-11-09,0,103,15,0,0,0,1181,35
Casa 24Beats,2025-11-09,0,0,N/A,25,13816,172,0,0
Discord Server,2025-11-09,0,64,17,0,0,0,0,0
Casa 24,2025-11-10,3,345,536,622,29372,94,1695,578
Chef Lino,2025-11-10,2,264,327,18,368,6,1326,5
PYRO,2025-11-10,0,155,77,0,0,0,945,9
bo.wlie,2025-11-10,0,88,10,94,13858,71,0,0
Mango Blade,2025-11-10,0,129,124,0,0,0,627,9
ZACKO,2025-11-10,0,8,0,0,0,0,505,21
ARANDA,2025-11-10,0,103,15,0,0,0,1179,35
Casa 24Beats,2025-11-10,0,0,N/A,25,13826,172,0,0
Discord Server,2025-11-10,0,64,16,0,0,0,0,0
Casa 24,2025-11-11,3,345,537,622,29374,94,1693,578
Chef Lino,2025-11-11,2,264,329,18,368,6,1325,5
PYRO,2025-11-11,0,155,76,0,0,0,943,9
bo.wlie,2025-11-11,0,88,9,94,13859,71,0,0
Mango Blade,2025-11-11,0,129,125,0,0,0,624,9
ZACKO,2025-11-11,0,8,0,0,0,0,505,21
ARANDA,2025-11-11,0,103,14,0,0,0,1179,36
Casa 24Beats,2025-11-11,0,0,N/A,25,13841,174,0,0
Discord Server,2025-11-11,0,64,17,0,0,0,0,0
Casa 24,2025-11-12,3,345,545,622,29388,94,1694,578
Chef Lino,2025-11-12,2,264,336,18,368,6,1326,5
PYRO,2025-11-12,0,155,76,0,0,0,944,9
bo.wlie,2025-11-12,0,88,9,94,13859,71,0,0
Mango Blade,2025-11-12,0,129,124,0,0,0,624,9
ZACKO,2025-11-12,0,8,0,0,0,0,505,21
ARANDA,2025-11-12,0,103,14,0,0,0,1180,36
Casa 24Beats,2025-11-12,0,0,N/A,26,13874,176,0,0
Discord Server,2025-11-12,0,65,21,0,0,0,0,0
Casa 24,2025-11-13,3,345,538,622,29389,94,1692,578
Chef Lino,2025-11-13,2,264,333,18,368,6,1326,5
PYRO,2025-11-13,0,155,74,0,0,0,943,9
bo.wlie,2025-11-13,0,88,10,94,13859,71,0,0
Mango Blade,2025-11-13,0,129,124,0,0,0,623,9
ZACKO,2025-11-13,0,8,0,0,0,0,506,21
ARANDA,2025-11-13,0,103,13,0,0,0,1180,36
Casa 24Beats,2025-11-13,0,0,N/A,26,13960,178,0,0
Discord Server,2025-11-13,0,65,21,0,0,0,0,0
Casa 24,2025-11-14,3,345,538,622,29405,94,1692,578
Chef Lino,2025-11-14,2,264,334,18,368,6,1326,5
PYRO,2025-11-14,0,155,76,0,0,0,942,9
bo.wlie,2025-11-14,0,88,9,94,13859,71,0,0
Mango Blade,2025-11-14,0,129,120,0,0,0,623,9
ZACKO,2025-11-14,0,8,0,0,0,0,506,21
ARANDA,2025-11-14,0,103,13,0,0,0,1180,36
Casa 24Beats,2025-11-14,0,0,N/A,26,13988,180,0,0
Discord Server,2025-11-14,0,65,15,0,0,0,0,0
Casa 24,2025-11-15,3,345,537,622,29407,94,1692,578
Chef Lino,2025-11-15,2,264,334,18,368,6,1325,5
PYRO,2025-11-15,0,155,76,0,0,0,942,9
bo.wlie,2025-11-15,0,88,9,94,13859,71,0,0
Mango Blade,2025-11-15,0,129,118,0,0,0,623,9
ZACKO,2025-11-15,0,8,0,0,0,0,506,21
ARANDA,2025-11-15,0,103,12,0,0,0,1181,36
Casa 24Beats,2025-11-15,0,0,N/A,26,14195,182,0,0
Discord Server,2025-11-15,0,65,19,0,0,0,0,0
Casa 24,2025-11-16,3,345,536,622,29409,94,1692,578
Chef Lino,2025-11-16,2,264,339,18,368,6,1324,5
PYRO,2025-11-16,0,155,77,0,0,0,941,9
bo.wlie,2025-11-16,0,87,10,94,13859,71,0,0
Mango Blade,2025-11-16,0,129,113,0,0,0,623,9
ZACKO,2025-11-16,0,8,0,0,0,0,507,21
ARANDA,2025-11-16,0,103,11,0,0,0,1182,36
Casa 24Beats,2025-11-16,0,0,N/A,26,14290,182,0,0
Discord Server,2025-11-16,0,65,19,0,0,0,0,0
Casa 24,2025-11-17,3,345,524,622,29412,94,1692,578
Chef Lino,2025-11-17,2,264,328,18,368,6,1324,5
PYRO,2025-11-17,0,155,78,0,0,0,941,9
bo.wlie,2025-11-17,0,87,10,94,13859,71,0,0
Mango Blade,2025-11-17,0,129,111,0,0,0,623,9
ZACKO,2025-11-17,0,8,0,0,0,0,508,21
ARANDA,2025-11-17,0,103,11,0,0,0,1185,36
Casa 24Beats,2025-11-17,0,0,N/A,27,14611,180,0,0
Discord Server,2025-11-17,0,65,20,0,0,0,0,0
Casa 24,2025-11-18,3,346,516,622,29412,94,1692,578
Chef Lino,2025-11-18,2,264,329,18,368,6,1324,5
PYRO,2025-11-18,0,155,77,0,0,0,942,9
bo.wlie,2025-11-18,0,87,8,94,13859,71,0,0
Mango Blade,2025-11-18,0,129,106,0,0,0,622,9
ZACKO,2025-11-18,0,8,0,0,0,0,508,21
ARANDA,2025-11-18,0,103,10,0,0,0,1185,37
Casa 24Beats,2025-11-18,0,0,N/A,27,14678,184,0,0
Discord Server,2025-11-18,0,65,19,0,0,0,0,0
Casa 24,2025-11-19,3,346,523,622,29414,94,1693,578
Chef Lino,2025-11-19,2,264,338,18,368,6,1326,5
PYRO,2025-11-19,0,155,78,0,0,0,942,9
bo.wlie,2025-11-19,0,87,8,94,13859,71,0,0
Mango Blade,2025-11-19,0,129,101,0,0,0,625,9
ZACKO,2025-11-19,0,8,0,0,0,0,509,21
ARANDA,2025-11-19,0,103,10,0,0,0,1185,37
Casa 24Beats,2025-11-19,0,0,N/A,27,14682,186,0,0
Discord Server,2025-11-19,0,65,21,0,0,0,0,0
Casa 24,2025-11-20,3,346,519,622,29414,94,1692,578
Chef Lino,2025-11-20,3,264,338,18,368,6,1326,5
PYRO,2025-11-20,0,155,79,0,0,0,943,9
bo.wlie,2025-11-20,0,87,8,95,13859,71,0,0
Mango Blade,2025-11-20,0,129,97,0,0,0,625,9
ZACKO,2025-11-20,0,8,0,0,0,0,509,21
ARANDA,2025-11-20,0,103,8,0,0,0,1186,37
Casa 24Beats,2025-11-20,0,0,N/A,27,14733,188,0,0
Discord Server,2025-11-20,0,65,16,0,0,0,0,0
Casa 24,2025-11-21,3,346,514,622,29414,94,1694,578
Chef Lino,2025-11-21,3,264,336,18,368,6,1326,5
PYRO,2025-11-21,0,155,77,0,0,0,944,9
bo.wlie,2025-11-21,0,87,9,95,13859,71,0,0
Mango Blade,2025-11-21,0,129,97,0,0,0,625,9
ZACKO,2025-11-21,0,8,0,0,0,0,509,21
ARANDA,2025-11-21,0,103,7,0,0,0,1188,37
Casa 24Beats,2025-11-21,0,0,N/A,27,14832,190,0,0
Discord Server,2025-11-21,0,66,19,0,0,0,0,0
Casa 24,2025-11-22,3,346,509,622,29418,94,1696,578
Chef Lino,2025-11-22,3,264,333,18,368,6,1326,5
PYRO,2025-11-22,0,155,75,0,0,0,943,9
bo.wlie,2025-11-22,0,87,9,95,13859,71,0,0
Mango Blade,2025-11-22,0,129,96,0,0,0,625,9
ZACKO,2025-11-22,0,8,0,0,0,0,509,21
ARANDA,2025-11-22,0,103,6,0,0,0,1188,37
Casa 24Beats,2025-11-22,0,0,N/A,28,14898,192,0,0
Discord Server,2025-11-22,0,67,20,0,0,0,0,0
Casa 24,2025-11-23,3,346,510,622,29419,94,1693,578
Chef Lino,2025-11-23,3,264,336,18,368,6,1324,5
PYRO,2025-11-23,0,155,76,0,0,0,942,9
bo.wlie,2025-11-23,0,87,9,95,13859,71,0,0
Mango Blade,2025-11-23,0,129,91,0,0,0,626,9
ZACKO,2025-11-23,0,8,0,0,0,0,509,21
ARANDA,2025-11-23,0,103,7,0,0,0,1189,36
Casa 24Beats,2025-11-23,0,0,N/A,29,15164,192,0,0
Discord Server,2025-11-23,0,67,16,0,0,0,0,0
Casa 24,2025-11-24,3,346,503,622,29420,94,1693,578
Chef Lino,2025-11-24,3,264,329,18,368,6,1329,5
PYRO,2025-11-24,0,155,78,0,0,0,942,9
bo.wlie,2025-11-24,0,87,7,95,13859,71,0,0
Mango Blade,2025-11-24,0,129,88,0,0,0,625,9
ZACKO,2025-11-24,0,8,0,0,0,0,510,21
ARANDA,2025-11-24,0,103,8,0,0,0,1187,36
Casa 24Beats,2025-11-24,0,0,N/A,29,15185,192,0,0
Discord Server,2025-11-24,0,67,14,0,0,0,0,0
Casa 24,2025-11-25,3,346,501,622,29420,94,1692,578
Chef Lino,2025-11-25,3,264,331,18,368,6,1329,5
PYRO,2025-11-25,0,155,78,0,0,0,942,9
bo.wlie,2025-11-25,0,87,7,95,13859,71,0,0
Mango Blade,2025-11-25,0,129,84,0,0,0,625,9
ZACKO,2025-11-25,0,8,0,0,0,0,510,21
ARANDA,2025-11-25,0,103,9,0,0,0,1188,36
Casa 24Beats,2025-11-25,0,0,N/A,29,15395,194,0,0
Discord Server,2025-11-25,0,68,21,0,0,0,0,0
Casa 24,2025-11-26,3,346,499,622,29423,94,1692,578
Chef Lino,2025-11-26,3,264,333,18,368,6,1329,5
PYRO,2025-11-26,0,155,80,0,0,0,942,9
bo.wlie,2025-11-26,0,87,6,95,13860,71,0,0
Mango Blade,2025-11-26,0,129,81,0,0,0,625,9
ZACKO,2025-11-26,0,8,0,0,0,0,510,21
ARANDA,2025-11-26,0,103,9,0,0,0,1186,36
Casa 24Beats,2025-11-26,0,0,N/A,29,15402,196,0,0
Discord Server,2025-11-26,0,69,19,0,0,0,0,0
Casa 24,2025-11-27,3,346,503,622,29432,94,1691,578
Chef Lino,2025-11-27,3,264,338,18,368,6,1329,5
PYRO,2025-11-27,0,155,83,0,0,0,943,9
bo.wlie,2025-11-27,0,87,6,95,13860,71,0,0
Mango Blade,2025-11-27,0,129,78,0,0,0,625,9
ZACKO,2025-11-27,0,8,0,0,0,0,509,21
ARANDA,2025-11-27,0,103,9,0,0,0,1188,36
Casa 24Beats,2025-11-27,0,0,N/A,29,15514,198,0,0
Discord Server,2025-11-27,0,69,16,0,0,0,0,0
Casa 24,2025-11-28,3,346,503,622,29432,94,1692,578
Chef Lino,2025-11-28,3,264,339,18,368,6,1328,5
PYRO,2025-11-28,0,155,83,0,0,0,943,9
bo.wlie,2025-11-28,0,87,5,95,13861,71,0,0
Mango Blade,2025-11-28,0,128,75,0,0,0,625,9
ZACKO,2025-11-28,0,8,0,0,0,0,509,21
ARANDA,2025-11-28,0,103,9,0,0,0,1188,36
Casa 24Beats,2025-11-28,0,0,N/A,29,15533,200,0,0
Discord Server,2025-11-28,0,69,18,0,0,0,0,0
Casa 24,2025-11-29,3,346,498,622,29433,94,1693,578
Chef Lino,2025-11-29,3,264,334,18,368,6,1330,5
PYRO,2025-11-29,0,155,86,0,0,0,944,9
bo.wlie,2025-11-29,0,87,5,95,13861,71,0,0
Mango Blade,2025-11-29,0,128,73,0,0,0,626,9
ZACKO,2025-11-29,0,8,0,0,0,0,510,21
ARANDA,2025-11-29,0,103,10,0,0,0,1189,36
Casa 24Beats,2025-11-29,0,0,N/A,30,15659,202,0,0
Discord Server,2025-11-29,0,69,18,0,0,0,0,0
Casa 24,2025-11-30,3,346,497,622,29434,94,1693,578
Chef Lino,2025-11-30,3,264,334,18,368,6,1328,5
PYRO,2025-11-30,0,156,86,0,0,0,944,9
bo.wlie,2025-11-30,0,87,6,95,13861,71,0,0
Mango Blade,2025-11-30,0,128,71,0,0,0,625,9
ZACKO,2025-11-30,0,8,0,0,0,0,510,21
ARANDA,2025-11-30,0,103,10,0,0,0,1188,36
Casa 24Beats,2025-11-30,0,0,N/A,31,15679,202,0,0
Discord Server,2025-11-30,0,69,18,0,0,0,0,0
Casa 24,2025-12-01,3,346,494,622,29435,94,1694,578
Chef Lino,2025-12-01,3,264,333,18,368,6,1328,5
PYRO,2025-12-01,0,156,87,0,0,0,945,9
bo.wlie,2025-12-01,0,87,7,95,13861,71,0,0
Mango Blade,2025-12-01,0,128,67,0,0,0,623,9
ZACKO,2025-12-01,0,8,0,0,0,0,509,21
ARANDA,2025-12-01,0,103,13,0,0,0,1188,36
Casa 24Beats,2025-12-01,0,0,N/A,31,15747,202,0,0
Discord Server,2025-12-01,0,69,13,0,0,0,0,0
Casa 24,2025-12-02,3,346,494,622,29435,94,1692,578
Chef Lino,2025-12-02,3,264,335,18,368,6,1327,5
PYRO,2025-12-02,0,156,90,0,0,0,944,9
bo.wlie,2025-12-02,0,87,7,95,13861,71,0,0
Mango Blade,2025-12-02,0,128,63,0,0,0,624,9
ZACKO,2025-12-02,0,8,0,0,0,0,510,21
ARANDA,2025-12-02,0,103,12,0,0,0,1188,36
Casa 24Beats,2025-12-02,0,0,N/A,31,15758,204,0,0
Discord Server,2025-12-02,0,69,20,0,0,0,0,0
Casa 24,2025-12-03,3,346,494,622,29443,94,1694,578
Chef Lino,2025-12-03,3,264,340,18,368,6,1327,5
PYRO,2025-12-03,0,156,90,0,0,0,944,9
bo.wlie,2025-12-03,0,87,7,95,13861,71,0,0
Mango Blade,2025-12-03,0,128,61,0,0,0,623,9
ZACKO,2025-12-03,0,8,0,0,0,0,510,21
ARANDA,2025-12-03,0,103,13,0,0,0,1189,36
Casa 24Beats,2025-12-03,0,0,N/A,31,15796,204,0,0
Discord Server,2025-12-03,0,69,20,0,0,0,0,0
Casa 24,2025-12-04,3,346,493,622,29447,94,1694,578
Chef Lino,2025-12-04,3,264,343,18,368,6,1326,5
PYRO,2025-12-04,0,156,89,0,0,0,943,9
bo.wlie,2025-12-04,0,87,7,95,13861,71,0,0
Mango Blade,2025-12-04,0,128,63,0,0,0,624,9
ZACKO,2025-12-04,0,8,0,0,0,0,510,21
ARANDA,2025-12-04,0,103,13,0,0,0,1188,36
Casa 24Beats,2025-12-04,0,0,N/A,31,15803,204,0,0
Discord Server,2025-12-04,0,69,17,0,0,0,0,0
Casa 24,2025-12-05,3,346,491,622,29471,94,1693,578
Chef Lino,2025-12-05,3,264,341,18,368,6,1325,5
PYRO,2025-12-05,0,156,91,0,0,0,943,9
bo.wlie,2025-12-05,0,87,7,95,13861,71,0,0
Mango Blade,2025-12-05,0,128,64,0,0,0,624,9
ZACKO,2025-12-05,0,8,0,0,0,0,510,21
ARANDA,2025-12-05,0,103,12,0,0,0,1189,36
Casa 24Beats,2025-12-05,0,0,N/A,31,15810,204,0,0
Discord Server,2025-12-05,0,69,15,0,0,0,0,0
Casa 24,2025-12-06,3,346,486,622,29452,94,1691,578
Chef Lino,2025-12-06,3,264,342,18,368,6,1324,5
PYRO,2025-12-06,0,156,89,0,0,0,943,9
bo.wlie,2025-12-06,0,87,7,95,13861,71,0,0
Mango Blade,2025-12-06,0,128,63,0,0,0,624,9
ZACKO,2025-12-06,0,8,0,0,0,0,511,21
ARANDA,2025-12-06,0,103,11,0,0,0,1190,36
Casa 24Beats,2025-12-06,0,0,N/A,31,15811,204,0,0
Discord Server,2025-12-06,0,69,17,0,0,0,0,0
Casa 24,2025-12-07,3,346,479,622,29463,94,1691,578
Chef Lino,2025-12-07,3,264,345,18,368,6,1323,5
PYRO,2025-12-07,0,156,90,0,0,0,943,9
bo.wlie,2025-12-07,0,87,7,95,13861,71,0,0
Mango Blade,2025-12-07,0,128,64,0,0,0,624,9
ZACKO,2025-12-07,0,8,0,0,0,0,511,21
ARANDA,2025-12-07,0,103,13,0,0,0,1190,36
Casa 24Beats,2025-12-07,0,0,N/A,31,15814,204,0,0
Discord Server,2025-12-07,0,69,18,0,0,0,0,0
Casa 24,2025-12-08,3,346,473,622,29488,94,1691,578
Chef Lino,2025-12-08,3,264,344,18,368,6,1322,5
PYRO,2025-12-08,0,156,92,0,0,0,943,9
bo.wlie,2025-12-08,0,87,9,95,13862,71,0,0
Mango Blade,2025-12-08,0,128,59,0,0,0,624,9
ZACKO,2025-12-08,0,8,0,0,0,0,512,21
ARANDA,2025-12-08,0,103,13,0,0,0,1190,36
Casa 24Beats,2025-12-08,0,0,N/A,31,15822,204,0,0
Discord Server,2025-12-08,0,69,15,0,0,0,0,0
Casa 24,2025-12-09,3,347,475,622,29488,94,1691,578
Chef Lino,2025-12-09,3,264,347,18,368,6,1322,5
PYRO,2025-12-09,0,156,92,0,0,0,943,9
bo.wlie,2025-12-09,0,87,9,95,13862,71,0,0
Mango Blade,2025-12-09,0,128,62,0,0,0,624,9
ZACKO,2025-12-09,0,8,0,0,0,0,511,21
ARANDA,2025-12-09,0,103,13,0,0,0,1187,37
Casa 24Beats,2025-12-09,0,0,N/A,31,15826,204,0,0
Discord Server,2025-12-09,0,69,18,0,0,0,0,0
Casa 24,2025-12-10,3,347,463,622,29488,94,1690,578
Chef Lino,2025-12-10,3,264,341,18,368,6,1322,5
PYRO,2025-12-10,0,156,93,0,0,0,943,9
bo.wlie,2025-12-10,0,87,9,95,13862,71,0,0
Mango Blade,2025-12-10,0,128,59,0,0,0,624,9
ZACKO,2025-12-10,0,8,0,0,0,0,511,21
ARANDA,2025-12-10,0,103,13,0,0,0,1188,37
Casa 24Beats,2025-12-10,0,0,N/A,31,15840,204,0,0
Discord Server,2025-12-10,0,68,20,0,0,0,0,0
Casa 24,2025-12-11,3,347,463,621,29495,94,1687,578
Chef Lino,2025-12-11,3,265,341,18,368,6,1322,5
PYRO,2025-12-11,0,156,95,0,0,0,944,9
bo.wlie,2025-12-11,0,87,9,95,13862,71,0,0
Mango Blade,2025-12-11,0,128,59,0,0,0,624,9
ZACKO,2025-12-11,0,8,0,0,0,0,511,21
ARANDA,2025-12-11,0,103,13,0,0,0,1188,37
Casa 24Beats,2025-12-11,0,0,N/A,31,15844,204,0,0
Discord Server,2025-12-11,0,68,16,0,0,0,0,0
